DIPID	UniProtKB AC
DIP-48484N	Q92945
DIP-29223N	P61964
DIP-29224N	Q15291
DIP-42668N	Q16186
DIP-39944N	P54727
DIP-5974N	P45481
DIP-5974N	P45481
DIP-48847N	Q86WV6
DIP-48847N	Q86WV6
DIP-42506N	Q92797
DIP-48847N	Q86WV6
DIP-40997N	P60468
DIP-42506N	Q92797
DIP-29042N	O00401
DIP-39484N	P27708
DIP-33079N	P62805
DIP-48936N	Q7L7L0
DIP-48936N	Q7L7L0
DIP-33197N	O15144
DIP-30932N	P06748
DIP-38023N	Q9UKT4
DIP-38023N	Q9UKT4
DIP-32957N	Q9UJX6
DIP-519N	P28482
DIP-30911N	Q14683
DIP-27515N	Q9Y4K3
DIP-34501N	Q16630
DIP-29570N	Q15370
DIP-29571N	Q15369
DIP-29570N	Q15370
DIP-29571N	Q15369
DIP-31612N	Q13617
DIP-48936N	Q7L7L0
DIP-37971N	Q969U6
DIP-38023N	Q9UKT4
DIP-38023N	Q9UKT4
DIP-38700N	Q9UM11
DIP-38023N	Q9UKT4
DIP-31365N	Q14203
DIP-35287N	Q8IX03
DIP-31317N	Q15831
DIP-31317N	Q15831
DIP-31167N	Q13148
DIP-37862N	O95760
DIP-35679N	P61081
DIP-33322N	P54132
DIP-42607N	Q9BYX4
DIP-29138N	P62491
DIP-38024N	O60447
DIP-31317N	Q15831
DIP-37981N	P49757
DIP-31176N	Q7Z5K2
DIP-29224N	Q15291
DIP-29222N	Q9UBL3
DIP-31612N	Q13617
DIP-31609N	Q13620
DIP-17013N	Q13616
DIP-31612N	Q13617
DIP-31610N	Q13619
DIP-31609N	Q13620
DIP-436N	Q16576
DIP-33495N	Q09028
DIP-33079N	P62805
DIP-43977N	Q9WTL8
DIP-30997N	Q9Y5X1
DIP-41998N	Q9HC29
DIP-29011N	P24928
DIP-31532N	P46100
DIP-33398N	Q14315
DIP-46289N	Q96D31
DIP-48945N	Q9BRQ5
DIP-58638N	O00592
DIP-34443N	Q13501
DIP-38136N	Q15365
DIP-31244N	P50570
DIP-31244N	P50570
DIP-31244N	P50570
DIP-41064N	Q9Y239
DIP-52778N	Q96EQ8
DIP-52778N	Q96EQ8
DIP-52778N	Q96EQ8
DIP-42607N	Q9BYX4
DIP-35445N	Q7Z434
DIP-32490N	Q8WWW0
DIP-42607N	Q9BYX4
DIP-42607N	Q9BYX4
DIP-30932N	P06748
DIP-30932N	P06748
DIP-33403N	P13497
DIP-33403N	P13497
DIP-29588N	Q9H3D4
DIP-41998N	Q9HC29
DIP-48396N	P20393
DIP-29371N	P68431
DIP-39776N	O60885
DIP-35263N	Q9UKL0
DIP-34565N	P56524
DIP-34565N	P56524
DIP-41063N	P78406
DIP-31613N	P11940
DIP-34443N	Q13501
DIP-32484N	P52948
DIP-6124N	P68036
DIP-37655N	O60260
DIP-42077N	Q13098
DIP-31134N	Q9Y613
DIP-42075N	Q99627
DIP-53412N	Q9UBW8
DIP-29394N	P30153
DIP-46217N	Q8AXF4
DIP-48519N	Q9GZX7
DIP-29060N	Q9UKV5
DIP-29060N	Q9UKV5
DIP-33605N	O60934
DIP-426N	Q13625
DIP-36242N	Q05193
DIP-29588N	Q9H3D4
DIP-46874N	Q02363
DIP-46874N	Q02363
DIP-34436N	O43663
DIP-519N	P28482
DIP-30985N	P27361
DIP-519N	P28482
DIP-29757N	Q96EB6
DIP-33322N	P54132
DIP-33322N	P54132
DIP-38538N	Q15797
DIP-38538N	Q15797
DIP-38538N	Q15797
DIP-31811N	O00459
DIP-40089N	P32121
DIP-29588N	Q9H3D4
DIP-39693N	P26358
DIP-34546N	Q92905
DIP-119N	P27986
DIP-41431N	P15976
DIP-59090N	P59215
DIP-33948N	P07550
DIP-41063N	P78406
DIP-33061N	Q9HAU4
DIP-33404N	P70168
DIP-29394N	P30153
DIP-46140N	P42224
DIP-38657N	Q13418
DIP-40640N	P17542
DIP-29223N	P61964
DIP-46277N	Q149N8
DIP-41431N	P15976
DIP-41431N	P15976
DIP-41431N	P15976
DIP-41431N	P15976
DIP-41431N	P15976
DIP-32682N	P68400
DIP-46277N	Q149N8
DIP-33079N	P62805
DIP-38014N	P18031
DIP-50593N	P50395
DIP-17013N	Q13616
DIP-17011N	Q13309
DIP-37518N	Q5VZM2
DIP-39650N	Q6IAA8
DIP-31119N	Q9Y2A7
DIP-35655N	P08727
DIP-41817N	Q9Y6W5
DIP-56450N	Q9UJX5
DIP-58592N	P56704
DIP-33485N	Q13490
DIP-34467N	O00444
DIP-29221N	Q03164
DIP-29221N	Q03164
DIP-40839N	P46937
DIP-40839N	P46937
DIP-51635N	Q9ULQ0
DIP-42405N	Q12756
DIP-33605N	O60934
DIP-34443N	Q13501
DIP-34443N	Q13501
DIP-34443N	Q13501
DIP-40839N	P46937
DIP-40839N	P46937
DIP-33851N	P49023
DIP-27515N	Q9Y4K3
DIP-31315N	Q8TEW0
DIP-29138N	P62491
DIP-46463N	O94992
DIP-34467N	O00444
DIP-37515N	Q9HB90
DIP-57000N	Q9Y2Q5
DIP-57000N	Q9Y2Q5
DIP-37515N	Q9HB90
DIP-39650N	Q6IAA8
DIP-57000N	Q9Y2Q5
DIP-40839N	P46937
DIP-40839N	P46937
DIP-32957N	Q9UJX6
DIP-56450N	Q9UJX5
DIP-56450N	Q9UJX5
DIP-56450N	Q9UJX5
DIP-39973N	Q13131
DIP-40839N	P46937
DIP-40839N	P46937
DIP-40839N	P46937
DIP-31380N	Q14191
DIP-31380N	Q14191
DIP-34897N	P20700
DIP-34897N	P20700
DIP-34897N	P20700
DIP-34897N	P20700
DIP-29221N	Q03164
DIP-34897N	P20700
DIP-46874N	Q02363
DIP-43977N	Q9WTL8
DIP-43977N	Q9WTL8
DIP-32682N	P68400
DIP-32682N	P68400
DIP-34443N	Q13501
DIP-46259N	Q9UBV2
DIP-37493N	Q13438
DIP-436N	Q16576
DIP-47496N	Q9H8V3
DIP-58520N	P00740
DIP-35445N	Q7Z434
DIP-46217N	Q8AXF4
DIP-44611N	Q14457
DIP-44611N	Q14457
DIP-32507N	P08670
DIP-44611N	Q14457
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-47537N	P36405
DIP-38427N	Q86YC2
DIP-38427N	Q86YC2
DIP-33495N	Q09028
DIP-29224N	Q15291
DIP-29222N	Q9UBL3
DIP-33087N	Q9H0H5
DIP-37884N	Q6P1J9
DIP-37884N	Q6P1J9
DIP-29011N	P24928
DIP-37884N	Q6P1J9
DIP-47624N	Q4G0J3
DIP-48673N	Q8N7H5
DIP-31693N	Q6PD62
DIP-48673N	Q8N7H5
DIP-29011N	P24928
DIP-29011N	P24928
DIP-59408N	Q9UBU2
DIP-59407N	Q9BQB4
DIP-59418N	Q9NZD2
DIP-34634N	P29074
DIP-41860N	P09603
DIP-59421N	P07333
DIP-45278N	P07141
DIP-46415N	P09581
DIP-34890N	Q8WXD9
DIP-56496N	O75330
DIP-59438N	Q786F2
DIP-38515N	P97784
DIP-50704N	Q9Y3Z3
DIP-2262N	P02829
DIP-48569N	Q9HCJ0
DIP-59373N	Q9Y6R1
DIP-59293N	Q9Y2T1
DIP-1618N	P14682
DIP-59311N	O75874
DIP-59318N	Q15562
DIP-44291N	P20309
DIP-30996N	Q99962
DIP-40729N	P49418
DIP-36585N	Q9H334
DIP-41254N	O15143
DIP-44938N	P26447
DIP-59327N	Q7TNC6
DIP-36620N	P09936
DIP-34411N	O14656
DIP-56692N	Q5JTV8
DIP-59332N	Q5JU69
DIP-59333N	Q9H497
DIP-59334N	Q9UBD6
DIP-38325N	Q92736
DIP-42502N	O43809
DIP-31137N	P14174
DIP-59339N	Q9NRA1
DIP-39482N	Q8N122
DIP-50823N	Q9Y5Q8
DIP-38213N	Q8WUA4
DIP-53028N	Q9H063
DIP-38212N	Q12789
DIP-59351N	Q5SPW0
DIP-6023N	P08581
DIP-59359N	P35228
DIP-36438N	P49643
DIP-478N	P05107
DIP-31735N	Q9UBD5
DIP-59322N	P09616
DIP-49970N	Q96RS0
DIP-41587N	P55040
DIP-32517N	Q16891
DIP-33140N	P61158
DIP-33188N	P59998
DIP-33144N	O15511
DIP-43736N	O88509
DIP-59301N	Q8IVH2
DIP-20367N	P17210
DIP-44775N	P42338
DIP-59316N	Q6WBX7
DIP-59315N	Q6NXW6
DIP-27591N	P51787
DIP-36673N	O75530
DIP-38340N	O75147
DIP-38451N	Q91XC0
DIP-59507N	Q7TQJ8
DIP-1190N	P40344
DIP-1196N	P38862
DIP-33855N	P56945
DIP-33857N	O75815
DIP-29392N	Q13905
DIP-59448N	Q8VC56
DIP-33534N	Q96J94
DIP-52255N	Q9UPX8
DIP-53820N	Q9UHR4
DIP-31701N	O94986
DIP-5762N	P01132
DIP-59079N	O15318
DIP-36122N	Q13085
DIP-33103N	P35579
DIP-59532N	O00180
DIP-39663N	P41229
DIP-40866N	P03122
DIP-46223N	P34080
DIP-30987N	Q16539
DIP-38301N	P02794
DIP-59509N	Q8WVJ2
DIP-50763N	Q9UGM3
DIP-44197N	P04908
DIP-51617N	O00763
DIP-59528N	O35696
DIP-59530N	P13591
DIP-59529N	Q64690
DIP-33449N	Q8WZ42
DIP-31345N	Q9CQ20
DIP-50591N	O94925
DIP-59473N	Q8NEV9
DIP-41731N	O75689
DIP-59479N	Q9NWX6
DIP-59483N	Q9UG22
DIP-31110N	P35580
DIP-59486N	P97299
DIP-32859N	Q12929
DIP-59489N	A4D2P6
DIP-40834N	Q9Y566
DIP-38645N	P04062
DIP-214N	Q01705
DIP-55972N	Q920B9
DIP-59493N	P56716
DIP-41902N	Q9UIV1
DIP-46845N	Q6ZQ08
DIP-33064N	P42566
DIP-59492N	Q91W69
DIP-59497N	P40259
DIP-59484N	Q96F15
DIP-39164N	P15531
DIP-56276N	Q9H792
DIP-59533N	Q6UX06
DIP-40507N	P29067
DIP-29463N	Q99598
DIP-59562N	O95150
DIP-36624N	P02686
DIP-35493N	P01009
DIP-6068N	P00766
DIP-50761N	P29144
DIP-42006N	Q92889
DIP-50037N	Q6ZMJ4
DIP-39698N	Q08345
DIP-59647N	O82882
DIP-34574N	Q99835
DIP-59649N	P52179
DIP-26135N	Q9XVR6
DIP-59658N	A0A200N519
DIP-59658N	Q8VSD5
DIP-59654N	Q9K0V0
DIP-34296N	Q9ULG1
DIP-34297N	Q9H9F9
DIP-59552N	Q8Y6A8
DIP-59618N	P28845
DIP-37578N	O75962
DIP-59626N	P49590
DIP-59630N	P55075
DIP-59632N	Q96QT6
DIP-1236N	P52286
DIP-34654N	P50542
DIP-52312N	P31273
DIP-59650N	P21549
DIP-59635N	P01236
DIP-59653N	Q9K0U9
DIP-44668N	P62803
DIP-59701N	P03502
DIP-1484N	P14907
DIP-2351N	Q02629
DIP-215N	P35918
DIP-50865N	P52815
DIP-59718N	Q9BZE1
DIP-44136N	Q92552
DIP-59717N	Q7Z7H8
DIP-36072N	Q9Z277
DIP-31574N	P60710
DIP-59199N	Q9WUU8
DIP-32032N	Q01405
DIP-59790N	Q9NR31
DIP-146N	P49716
DIP-42833N	Q9UDY8
DIP-59798N	H9L447
DIP-59799N	Q5ZWZ3
DIP-42462N	Q9H0U4
DIP-38009N	P01008
DIP-48537N	Q62226
DIP-29304N	P18850
DIP-52853N	Q12899
DIP-56491N	Q14678
DIP-31164N	Q07021
DIP-42832N	O95140
DIP-59698N	Q8CFR0
DIP-42063N	P23471
DIP-53082N	Q63198
DIP-59715N	Q62656
DIP-56412N	O00411
DIP-40808N	P29066
DIP-40563N	P20711
DIP-41284N	P60706
DIP-34769N	O00206
DIP-59729N	P49278
DIP-59733N	Q9EPU5
DIP-59741N	O14862
DIP-59742N	P29033
DIP-59745N	Q9JXV4
DIP-34547N	Q9HAV4
DIP-47455N	Q13563
DIP-1702N	P32776
DIP-34311N	Q13507
DIP-53284N	P51810
DIP-56121N	O60242
DIP-36707N	Q13950
DIP-36665N	Q04724
DIP-59536N	Q8IZU3
DIP-47048N	Q9Y4B6
DIP-53527N	Q9BW61
DIP-31029N	Q15047
DIP-31916N	Q9Z148
DIP-34461N	Q96KQ7
DIP-41911N	Q13404
DIP-54262N	Q9UPN9
DIP-52713N	O15164
DIP-5985N	Q13185
DIP-50289N	Q8IWA4
DIP-50540N	Q9H5Q4
DIP-32944N	Q8TEX9
DIP-53502N	Q8WXF7
DIP-59800N	P97812
DIP-35407N	P61224
DIP-59826N	Q14416
DIP-33152N	Q06830
DIP-29844N	P17844
DIP-59235N	Q8R3L8
DIP-59406N	Q5VW32
DIP-39082N	Q9BY43
DIP-38342N	Q96CF2
DIP-38333N	P06727
DIP-40786N	P17936
DIP-59847N	Q62296
DIP-59850N	P61328
DIP-37596N	P12081
DIP-43979N	P55011
DIP-59889N	P97484
DIP-59888N	Q8N423
DIP-50030N	Q9ULT6
DIP-59895N	Q2MKA7
DIP-59894N	Q9BXB1
DIP-44199N	Q9BWF3
DIP-32578N	O60573
DIP-59904N	Q9C0J9
DIP-57696N	Q99PV5
DIP-59907N	P28324
DIP-59906N	Q9NRC8
DIP-57667N	O43474
DIP-59913N	P48431
DIP-53424N	Q6PGQ7
DIP-38416N	Q14524
DIP-50447N	Q92913
DIP-56900N	Q2NKJ3
DIP-32846N	Q00597
DIP-31696N	O60318
DIP-33590N	O00422
DIP-59924N	O55128
DIP-59949N	P0DJ89
DIP-38195N	P62136
DIP-33874N	P02533
DIP-43762N	Q90VU7
DIP-37969N	P30291
DIP-59963N	Q8UZD0
DIP-41492N	Q96NY8
DIP-33399N	P35368
DIP-37875N	O14686
DIP-47434N	O14773
DIP-41043N	Q92692
DIP-59237N	Q924H2
DIP-56901N	Q86WV5
DIP-59914N	Q9H668
DIP-31265N	O76064
DIP-59917N	Q6NZ36
DIP-41772N	Q920Q2
DIP-59920N	Q60793
DIP-49582N	Q9Z0Z7
DIP-59922N	Q09057
DIP-59925N	Q9VJ12
DIP-47029N	O94888
DIP-39799N	Q9WTX6
DIP-37952N	O00482
DIP-59939N	O14931
DIP-59865N	P21917
DIP-32963N	Q9UKV3
DIP-32845N	Q9HB96
DIP-57028N	Q9CW03
DIP-59233N	A2AGH6
DIP-43987N	P15151
DIP-33486N	Q96CA5
DIP-59966N	Q8IUX4
DIP-59967N	B2CML4
DIP-57177N	P02461
DIP-58104N	Q96CB9
DIP-31273N	P14618
DIP-38479N	P29474
DIP-35199N	P69905
DIP-59986N	Q95460
DIP-31728N	O00311
DIP-29338N	P09651
DIP-41328N	Q9NPJ4
DIP-31126N	Q8IU60
DIP-59992N	P21589
DIP-46794N	P70280
DIP-56475N	O95721
DIP-35546N	P52594
DIP-34001N	O43189
DIP-60016N	Q13572
DIP-34268N	Q91YE6
DIP-60021N	Q8VI24
DIP-29951N	Q15233
DIP-40097N	P13693
DIP-32625N	P04625
DIP-53793N	Q9NY33
DIP-60041N	D3ZAR1
DIP-60043N	Q99JA0
DIP-54283N	Q96QG7
DIP-60049N	Q13336
DIP-41890N	P15941
DIP-3093N	P55980
DIP-34900N	Q16820
DIP-60091N	A8MYU2
DIP-52405N	Q9P1Y5
DIP-60093N	Q9NQ88
DIP-60095N	Q2GJL5
DIP-48651N	Q6ZNE5
DIP-47283N	O94953
DIP-60098N	Q9H3R0
DIP-56407N	P51825
DIP-56409N	P42568
DIP-50009N	Q6W2J9
DIP-60099N	A2AM29
DIP-60108N	O36972
DIP-44311N	O95644
DIP-60117N	P13765
DIP-515N	P35221
DIP-60119N	O54081
DIP-40825N	P07814
DIP-33805N	Q6GQQ9
DIP-46426N	P09486
DIP-27587N	O15160
DIP-46295N	P54278
DIP-6185N	P28068
DIP-29634N	Q9ERG0
DIP-32456N	P35569
DIP-60129N	Q1XH17
DIP-32536N	P08151
DIP-38639N	Q03112
DIP-57384N	O15400
DIP-32212N	O88384
DIP-40358N	Q9BV40
DIP-57614N	Q96NW4
DIP-60013N	P53539
DIP-5976N	P35462
DIP-50375N	P48444
DIP-29872N	Q9Y678
DIP-60116N	P06340
DIP-34050N	Q60803
DIP-44884N	Q9BVA6
DIP-39733N	O15357
DIP-31652N	Q9C0A0
DIP-44289N	P41220
DIP-60142N	Q8NHV1
DIP-52708N	Q9BSM1
DIP-44567N	P78364
DIP-37958N	P49917
DIP-60155N	O95727
DIP-50783N	P41567
DIP-40995N	P47813
DIP-60163N	P20839
DIP-39750N	Q13627
DIP-60164N	Q8VDU0
DIP-53098N	Q71LX4
DIP-127N	P32927
DIP-29860N	Q8WUI4
DIP-42138N	P12757
DIP-52693N	Q6ZSG1
DIP-36708N	O43541
DIP-37781N	P48736
DIP-37562N	Q9UKE5
DIP-43767N	P03230
DIP-60180N	Q9H0R1
DIP-37970N	Q8N3Y1
DIP-33088N	P52735
DIP-38517N	Q9R194
DIP-38596N	Q9WTX5
DIP-33951N	P01116
DIP-33016N	O14497
DIP-52782N	Q3KNV8
DIP-60317N	P02750
DIP-33244N	Q09161
DIP-29077N	Q9UBQ0
DIP-50766N	Q9UQN3
DIP-44585N	Q9UN37
DIP-46780N	O96561
DIP-33584N	P40763
DIP-42116N	Q9UHD9
DIP-35238N	Q9UJW3
DIP-60257N	P15813
DIP-60263N	Q9Y235
DIP-60264N	Q8IV04
DIP-60268N	Q61115
DIP-36584N	Q9BZS1
DIP-60277N	Q9UBG7
DIP-34971N	P13612
DIP-35540N	O60506
DIP-50239N	Q9Y4E8
DIP-33686N	P22314
DIP-29814N	P05161
DIP-4672N	P43558
DIP-34492N	Q15013
DIP-38281N	O15297
DIP-31183N	Q14839
DIP-60326N	Q6P589
DIP-41751N	Q13330
DIP-60344N	Q19T08
DIP-60348N	Q6ZW61
DIP-60349N	Q9NPJ1
DIP-46566N	Q8IWZ6
DIP-60347N	Q8TAM1
DIP-42473N	P84090
DIP-60337N	Q3UHD6
DIP-60339N	Q6P8Y7
DIP-52265N	Q15036
DIP-60342N	O70511
DIP-56069N	Q9UPY8
DIP-46563N	Q9BXC9
DIP-98N	P20827
DIP-60361N	Q9BUN5
DIP-60357N	Q8N3I7
DIP-40857N	Q06413
DIP-31716N	Q9H2X6
DIP-60182N	Q9NUS5
DIP-51608N	Q99832
DIP-38123N	P78371
DIP-32970N	P49368
DIP-40770N	Q9UKT7
DIP-40621N	Q01320
DIP-39985N	O54941
DIP-37968N	Q86U42
DIP-39763N	O43741
DIP-47093N	Q16181
DIP-50838N	Q9Y237
DIP-85N	P25799
DIP-31291N	Q15717
DIP-31789N	Q9UBU9
DIP-33819N	Q8NC51
DIP-29195N	P26196
DIP-33136N	P16152
DIP-60358N	Q3SYG4
DIP-46540N	Q96RK4
DIP-60359N	Q8TAM2
DIP-33676N	P17987
DIP-32971N	P50991
DIP-38124N	P50990
DIP-46564N	Q8NFJ9
DIP-56414N	Q62356
DIP-39638N	P0C0S8
DIP-32890N	P62807
DIP-60462N	Q99543
DIP-29005N	P51531
DIP-33350N	Q8IXJ6
DIP-37896N	Q7Z2W4
DIP-31124N	O95453
DIP-31174N	Q8IZH2
DIP-44269N	P30086
DIP-44233N	O08852
DIP-60405N	O95822
DIP-60423N	P32455
DIP-60427N	P21453
DIP-29839N	Q920D5
DIP-40038N	P51878
DIP-39125N	P02741
DIP-60431N	Q9NY59
DIP-41721N	Q5VWQ8
DIP-37436N	P26367
DIP-37486N	P97879
DIP-43771N	Q7Z419
DIP-38511N	P52630
DIP-31002N	P29350
DIP-41703N	Q96QF0
DIP-43703N	P61006
DIP-52688N	Q6PCD5
DIP-33606N	Q92878
DIP-40367N	P48729
DIP-32408N	Q8BK63
DIP-60448N	Q99504
DIP-60447N	Q6P4T3
DIP-30903N	O00213
DIP-682N	P46933
DIP-60449N	Q5XUX0
DIP-32293N	Q61656
DIP-60454N	Q969G6
DIP-44939N	P41002
DIP-60458N	Q9UK97
DIP-56683N	Q9NVF7
DIP-41762N	P57775
DIP-60459N	Q2I0M4
DIP-38913N	Q9UPP1
DIP-43902N	Q86XI2
DIP-38112N	P41134
DIP-60463N	P50549
DIP-60468N	Q8NE86
DIP-31600N	Q9NZ52
DIP-60470N	B7UI22
DIP-32489N	Q8N5C8
DIP-40773N	O14640
DIP-34509N	Q92997
DIP-60444N	O43739
DIP-33352N	P62330
DIP-46736N	P63244
DIP-33326N	Q06330
DIP-60457N	Q9Y5S8
DIP-43901N	Q6IBW4
DIP-36661N	Q8NHY2
DIP-46911N	P02743
DIP-60475N	O88273
DIP-57599N	Q9BY67
DIP-57227N	Q32MD9
DIP-36355N	P14866
DIP-56943N	O95810
DIP-60484N	Q969G5
DIP-46595N	O61735
DIP-37019N	P50503
DIP-60483N	Q9Y2G1
DIP-40506N	O54724
DIP-33887N	P11388
DIP-36754N	Q08050
DIP-50395N	O75531
DIP-60503N	Q8R5A0
DIP-59601N	P47863
DIP-1057N	P10242
DIP-46517N	O95983
DIP-35140N	P49817
DIP-60495N	Q9QZ88
DIP-33487N	Q9NPH3
DIP-42826N	P30622
DIP-32516N	P26641
DIP-32124N	Q9D8N0
DIP-630N	P10912
DIP-1258N	Q08484
DIP-40268N	P51153
DIP-42491N	P61106
DIP-60519N	Q15771
DIP-60521N	Q14964
DIP-45604N	Q14677
DIP-37711N	Q3UHD1
DIP-35264N	Q13127
DIP-52725N	O00762
DIP-60532N	O60907
DIP-60536N	F5H9D8
DIP-46656N	O75475
DIP-186N	P24588
DIP-45969N	Q8TDY2
DIP-50290N	Q676U5
DIP-31966N	Q8C0J2
DIP-26227N	P39745
DIP-60546N	P06624
DIP-38194N	O43823
DIP-34476N	Q9C005
DIP-60580N	Q15468
DIP-38215N	P49591
DIP-38180N	P13674
DIP-31512N	Q13485
DIP-38114N	Q15652
DIP-60558N	Q9UI42
DIP-60557N	P84875
DIP-42066N	Q15256
DIP-50466N	Q9BTP7
DIP-60561N	A5JGM8
DIP-44226N	O75379
DIP-44224N	O43752
DIP-60563N	O60499
DIP-57843N	Q8N1B4
DIP-36128N	Q13188
DIP-49904N	Q9HC77
DIP-60560N	B0BLW3
DIP-60591N	Q7Z7C8
DIP-394N	Q16619
DIP-748N	P43268
DIP-29391N	Q14185
DIP-57615N	Q8IWI9
DIP-60511N	B7UI21
DIP-60596N	B7UNX3
DIP-42189N	Q15154
DIP-60603N	Q8TDG4
DIP-44064N	P69682
DIP-44062N	Q9CR95
DIP-32492N	P42858
DIP-40910N	Q9BUZ4
DIP-38920N	Q5VWG9
DIP-35350N	O00268
DIP-29721N	Q8R418
DIP-60540N	O75143
DIP-32955N	P51610
DIP-50256N	Q9H0J4
DIP-38919N	Q12830
DIP-60550N	Q9UGU5
DIP-60552N	Q8IXM2
DIP-44223N	Q96AJ9
DIP-28150N	Q15542
DIP-60612N	Q8C456
DIP-60625N	Q9JKV1
DIP-4637N	O13563
DIP-34442N	P54725
DIP-60629N	Q9NNX6
DIP-34449N	Q01844
DIP-52760N	Q92804
DIP-48432N	P22692
DIP-60631N	P47876
DIP-60634N	P47880
DIP-60637N	Q86UT6
DIP-60649N	Q99755
DIP-31607N	Q9Y297
DIP-27593N	Q9UKB1
DIP-60650N	Q924A2
DIP-42500N	Q9P2I0
DIP-40865N	P51003
DIP-42501N	Q9UKF6
DIP-53651N	Q9H6E5
DIP-34569N	Q96T58
DIP-57020N	Q9BXW4
DIP-60653N	Q9BSB4
DIP-49052N	Q9H492
DIP-53822N	Q6XZF7
DIP-43975N	Q9NW38
DIP-34137N	O08807
DIP-53760N	Q9UQR0
DIP-37179N	Q9JK11
DIP-42378N	Q08AE8
DIP-60687N	Q496J9
DIP-60688N	Q06141
DIP-41692N	P17861
DIP-42704N	O00429
DIP-661N	P63085
DIP-50714N	Q5TB80
DIP-53597N	Q9C0C7
DIP-35196N	O75385
DIP-37549N	Q9UNH7
DIP-60706N	Q960D2
DIP-32476N	P58335
DIP-60686N	Q6NYC1
DIP-32513N	Q9Y383
DIP-36772N	Q13951
DIP-43696N	Q93034
DIP-36069N	P12504
DIP-34516N	Q9BT78
DIP-52784N	Q16763
DIP-47377N	Q96FF9
DIP-40568N	Q9Y4R8
DIP-50660N	O43156
DIP-38781N	P43403
DIP-41782N	Q8NB16
DIP-60727N	Q86U44
DIP-47040N	O43164
DIP-38164N	P56192
DIP-60726N	Q9HCE5
DIP-40392N	P22736
DIP-41167N	O43566
DIP-60740N	P27732
DIP-30941N	Q9EP80
DIP-34604N	O15270
DIP-60753N	Q9NUV7
DIP-45626N	O15269
DIP-60755N	Q8NFR3
DIP-60754N	Q969W0
DIP-50735N	Q96HS1
DIP-42121N	Q96GG9
DIP-60768N	Q6PH85
DIP-31611N	Q13618
DIP-32538N	P10071
DIP-49510N	Q9QX47
DIP-29401N	Q06455
DIP-60782N	P43249
DIP-60786N	P35829
DIP-60787N	P56279
DIP-39133N	Q9NQR1
DIP-60792N	Q96C10
DIP-60793N	P45381
DIP-36426N	P70315
DIP-31259N	Q14160
DIP-39777N	Q9P0L2
DIP-6028N	P26927
DIP-39479N	Q6R327
DIP-39168N	P03182
DIP-48649N	Q8NEZ4
DIP-40449N	Q12923
DIP-29354N	P61809
DIP-60769N	Q8IWE4
DIP-44031N	Q95KV1
DIP-56370N	Q9BSJ6
DIP-60814N	Q582G4
DIP-60819N	Q2VPD4
DIP-46009N	O15516
DIP-60821N	Q99743
DIP-38518N	O54943
DIP-60822N	Q8N365
DIP-60914N	P97260
DIP-32584N	Q9Y243
DIP-60722N	Q9WTK7
DIP-52325N	Q9Y3Q4
DIP-39593N	P26450
DIP-39632N	P22830
DIP-42010N	P22460
DIP-41944N	O75618
DIP-42798N	Q96JM7
DIP-41699N	O75461
DIP-31767N	Q15906
DIP-41827N	Q01959
DIP-28141N	Q8IUF8
DIP-53768N	Q9H6W3
DIP-39114N	Q8IXI2
DIP-53578N	Q70CQ3
DIP-60838N	Q8IY34
DIP-56987N	Q13190
DIP-50458N	O75396
DIP-60861N	Q82506
DIP-48671N	Q9UNN8
DIP-37539N	P28033
DIP-40798N	Q12879
DIP-50613N	Q07954
DIP-50092N	Q13895
DIP-52951N	Q12815
DIP-33231N	Q80UE6
DIP-30876N	Q9Y6Q9
DIP-60887N	P05958
DIP-33561N	Q01105
DIP-60890N	Q9ERP3
DIP-48944N	Q96SN7
DIP-60894N	Q5ZSD5
DIP-41135N	Q9P0L0
DIP-53409N	Q8WXH0
DIP-42200N	Q14318
DIP-60896N	Q71RG4
DIP-44866N	P98158
DIP-29703N	P25116
DIP-44337N	O00254
DIP-32928N	Q14498
DIP-34409N	Q99426
DIP-60903N	P36871
DIP-31502N	P62424
DIP-46894N	Q13243
DIP-54758N	Q80UW2
DIP-35671N	P49137
DIP-5745N	O60462
DIP-60907N	Q994M8
DIP-60911N	O41790
DIP-60908N	O89293
DIP-60910N	Q88019
DIP-53799N	Q9Y2Z0
DIP-60913N	Q9Y5U4
DIP-34917N	P54763
DIP-42467N	P41586
DIP-60944N	Q9HBL8
DIP-42217N	P29473
DIP-60947N	O14669
DIP-56928N	Q96QB1
DIP-60949N	Q92502
DIP-56927N	Q04205
DIP-60970N	Q80U63
DIP-60969N	Q811U4
DIP-31562N	Q60598
DIP-39796N	P54646
DIP-60977N	P30989
DIP-60979N	P26232
DIP-29753N	P10636
DIP-49959N	Q96BY2
DIP-928N	Q13323
DIP-50471N	P41250
DIP-32773N	Q71U36
DIP-32772N	P07437
DIP-42487N	Q9H4B7
DIP-31505N	Q13509
DIP-60957N	Q9UIB8
DIP-4N	P04925
DIP-33190N	Q14247
DIP-60961N	Q9UN42
DIP-40673N	Q9H3P7
DIP-60912N	Q96MN2
DIP-46008N	O00327
DIP-49596N	Q8R5C8
DIP-1019N	Q03137
DIP-32624N	P11473
DIP-27578N	P33992
